EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryCategory,PromotionCategory,AgeGroup,DistanceCategory,OverTime_Numeric,Cluster,Cluster_Label,PCA1,PCA2
785,38,,Travel_Rarely,1153,Research & Development,6,2,Other,1,4,Female,40,2,1,Laboratory Technician,3,Married,3702,16376,1,Y,No,11,3,2,80,1,5,3,3,5,4,0,4,Rendah (< 5000),Baru Dipromosikan,30-39,6-10 km,0,1,Risiko Sedang,-0.5663035673420711,0.27659478966875295
786,32,1.0,Travel_Rarely,1033,Research & Development,9,3,Medical,1,1,Female,41,3,1,Laboratory Technician,1,Single,4200,10224,7,Y,No,22,4,1,80,0,10,2,4,5,4,0,4,Rendah (< 5000),Baru Dipromosikan,30-39,6-10 km,0,1,Risiko Sedang,-0.48887509085230874,1.1962556970311256
787,39,0.0,Travel_Rarely,1329,Sales,4,4,Life Sciences,1,4,Female,47,2,2,Sales Executive,3,Married,5902,14590,4,Y,No,14,3,3,80,1,17,1,4,15,11,5,9,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,0,1,Risiko Sedang,1.0413290782125397,1.1446769254608036
788,33,1.0,Travel_Frequently,1076,Research & Development,3,3,Life Sciences,1,1,Male,70,3,1,Research Scientist,1,Single,3348,3164,1,Y,Yes,11,3,1,80,0,10,3,3,10,8,9,7,Rendah (< 5000),> 5 Tahun,30-39,0-5 km,1,1,Risiko Sedang,0.07541708911231271,0.2911631119287571
789,46,0.0,Travel_Rarely,1485,Research & Development,18,3,Medical,1,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810,26314,2,Y,No,14,3,3,80,1,19,5,2,10,7,0,8,Rendah (< 5000),Baru Dipromosikan,40-49,11-20 km,0,0,Risiko Tinggi,0.20642234576851848,-1.0177958102917521
790,46,0.0,Travel_Rarely,1125,Sales,10,3,Marketing,1,3,Female,94,2,3,Sales Executive,4,Married,9071,11563,2,Y,Yes,19,3,3,80,1,15,3,3,3,2,1,2,Sedang (5000-10000),1-2 Tahun,40-49,6-10 km,1,1,Risiko Sedang,-0.2644526508083087,0.3024104108872456
791,41,0.0,Travel_Rarely,263,Research & Development,6,3,Medical,1,4,Male,59,3,1,Laboratory Technician,1,Single,4721,3119,2,Y,Yes,13,3,3,80,0,20,3,3,18,13,2,17,Rendah (< 5000),1-2 Tahun,40-49,6-10 km,1,2,Risiko Rendah,1.3032492197134387,0.11159705089764646
792,21,,Travel_Rarely,501,Sales,5,1,Medical,1,3,Male,58,3,1,Sales Representative,1,Single,2380,25479,1,Y,Yes,11,3,4,80,0,2,6,3,2,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,1,1,Risiko Sedang,-1.1094308724115631,0.3598809703056729
793,39,0.0,Travel_Rarely,141,Human Resources,3,3,Human Resources,1,3,Female,44,4,2,Human Resources,2,Married,6389,18767,9,Y,No,15,3,3,80,1,12,3,1,8,3,3,6,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,0,0,Risiko Tinggi,0.08710198528838742,-1.5265117588885793
794,44,,Travel_Frequently,602,Human Resources,1,5,Human Resources,1,1,Male,37,3,2,Human Resources,4,Married,5743,10503,4,Y,Yes,11,3,3,80,0,14,3,3,10,7,0,2,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,1,1,Risiko Sedang,0.3262393685511392,0.3332903701818519
795,34,1.0,Non-Travel,1362,Sales,19,3,Marketing,1,1,Male,67,4,2,Sales Executive,4,Single,5304,4652,8,Y,Yes,13,3,2,80,0,9,3,2,5,2,0,4,Sedang (5000-10000),Baru Dipromosikan,30-39,11-20 km,1,0,Risiko Tinggi,-0.418370482033087,-0.9648550089631871
796,34,0.0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,Tinggi (10000-15000),1-2 Tahun,30-39,6-10 km,0,2,Risiko Rendah,1.2683470767112213,0.3131532627470141
797,39,,Travel_Rarely,119,Sales,15,4,Marketing,1,2,Male,77,3,4,Sales Executive,1,Single,13341,25098,0,Y,No,12,3,1,80,0,21,3,3,20,8,11,10,Tinggi (10000-15000),> 5 Tahun,30-39,11-20 km,0,2,Risiko Rendah,2.4948878586594385,0.03166423546733432
798,29,0.0,Travel_Rarely,144,Sales,10,1,Marketing,1,4,Female,39,2,2,Sales Executive,2,Divorced,8268,11866,1,Y,Yes,14,3,1,80,2,7,2,3,7,7,1,7,Sedang (5000-10000),1-2 Tahun,< 30,6-10 km,1,1,Risiko Sedang,0.19389858930330206,0.2538990660973988
799,37,0.0,Travel_Rarely,290,Research & Development,21,3,Life Sciences,1,2,Male,65,4,1,Research Scientist,1,Married,3564,22977,1,Y,Yes,12,3,1,80,1,8,3,2,8,7,1,7,Rendah (< 5000),1-2 Tahun,30-39,21-30 km,1,0,Risiko Tinggi,-0.1936941225843025,-1.0448847447574017
800,35,0.0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,Rendah (< 5000),Baru Dipromosikan,30-39,6-10 km,0,1,Risiko Sedang,-1.2621144564140838,0.2514667961592607
801,46,0.0,Travel_Rarely,644,Research & Development,1,4,Medical,1,4,Male,97,3,3,Healthcare Representative,1,Divorced,9396,12368,7,Y,No,16,3,3,80,1,17,3,3,4,2,0,3,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,0,1,Risiko Sedang,-0.0884825256197897,0.5574457355650569
802,47,1.0,Travel_Frequently,719,Sales,27,2,Life Sciences,1,2,Female,77,4,2,Sales Executive,3,Single,6397,10339,4,Y,Yes,12,3,4,80,0,8,2,3,5,4,1,3,Sedang (5000-10000),1-2 Tahun,40-49,21-30 km,1,1,Risiko Sedang,-0.2794581446258674,-0.1696509650470266
803,30,0.0,Travel_Frequently,1012,Research & Development,5,4,Life Sciences,1,2,Male,75,2,1,Research Scientist,4,Divorced,3761,2373,9,Y,No,12,3,2,80,1,10,3,2,5,4,0,3,Rendah (< 5000),Baru Dipromosikan,30-39,0-5 km,0,0,Risiko Tinggi,-0.5824701919182277,-0.6624282596809608
804,29,0.0,Travel_Rarely,1107,Research & Development,28,4,Life Sciences,1,3,Female,93,3,1,Research Scientist,4,Divorced,2514,26968,4,Y,No,22,4,1,80,1,11,1,3,7,5,1,7,Rendah (< 5000),1-2 Tahun,< 30,21-30 km,0,0,Risiko Tinggi,-0.4263510106888687,-0.3199093698611741
805,50,0.0,Travel_Rarely,1207,Research & Development,28,1,Medical,1,4,Male,74,4,1,Laboratory Technician,3,Married,3221,3297,1,Y,Yes,11,3,3,80,3,20,3,3,20,8,3,8,Rendah (< 5000),3-5 Tahun,50+,21-30 km,1,2,Risiko Rendah,1.408010743738981,-0.5082712841212627
806,34,0.0,Travel_Rarely,1400,Sales,9,1,Life Sciences,1,2,Female,70,3,2,Sales Executive,3,Married,5714,5829,1,Y,No,20,4,1,80,0,6,3,2,6,5,1,3,Sedang (5000-10000),1-2 Tahun,30-39,6-10 km,0,0,Risiko Tinggi,-0.23688588474080638,-0.7190260907273172
807,31,1.0,Travel_Rarely,330,Research & Development,22,4,Medical,1,4,Male,98,3,2,Manufacturing Director,3,Married,6179,21057,1,Y,Yes,15,3,4,80,2,10,3,2,10,2,6,7,Sedang (5000-10000),> 5 Tahun,30-39,21-30 km,1,0,Risiko Tinggi,0.3525762289763761,-1.0861665778766054
808,48,0.0,Travel_Rarely,277,Research & Development,6,3,Life Sciences,1,1,Male,97,2,2,Healthcare Representative,3,Single,4240,13119,2,Y,No,13,3,4,80,0,19,0,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,40-49,6-10 km,0,1,Risiko Sedang,-0.9142065203927,0.3376811895873212
809,31,,Travel_Frequently,715,Sales,2,4,Other,1,4,Male,54,3,2,Sales Executive,1,Single,5332,21602,7,Y,No,13,3,4,80,0,10,3,3,5,2,0,3,Sedang (5000-10000),Baru Dipromosikan,30-39,0-5 km,0,1,Risiko Sedang,-0.3880605035990242,0.4378479867281672
810,49,,Travel_Rarely,809,Research & Development,1,3,Life Sciences,1,3,Male,36,3,4,Manager,3,Single,15379,22384,4,Y,No,14,3,1,80,0,23,2,3,8,7,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,0-5 km,0,2,Risiko Rendah,1.088370082735846,0.5716047905631381
811,43,0.0,Travel_Rarely,1473,Research & Development,8,4,Other,1,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522,2227,4,Y,Yes,14,3,4,80,0,8,3,3,5,2,0,2,Rendah (< 5000),Baru Dipromosikan,40-49,6-10 km,1,1,Risiko Sedang,-0.4787344082771942,0.24504261751265843
812,34,0.0,Travel_Rarely,258,Sales,21,4,Life Sciences,1,4,Male,74,4,2,Sales Executive,4,Single,5337,19921,1,Y,No,12,3,4,80,0,10,3,3,10,7,5,7,Sedang (5000-10000),3-5 Tahun,30-39,21-30 km,0,1,Risiko Sedang,0.28148798156950716,-0.1494742985545507
813,60,0.0,Travel_Rarely,696,Sales,7,4,Marketing,1,2,Male,52,4,2,Sales Executive,4,Divorced,5220,10893,0,Y,Yes,18,3,2,80,1,12,3,3,11,7,1,9,Sedang (5000-10000),1-2 Tahun,50+,6-10 km,1,1,Risiko Sedang,0.40505215712172493,0.16378723560248426
814,52,0.0,Travel_Rarely,258,Research & Development,8,4,Other,1,3,Female,54,3,1,Laboratory Technician,1,Married,2950,17363,9,Y,No,13,3,3,80,0,12,2,1,5,4,0,4,Rendah (< 5000),Baru Dipromosikan,50+,6-10 km,0,0,Risiko Tinggi,-0.6846661259222047,-1.644129278540708
815,25,0.0,Travel_Rarely,1280,Research & Development,7,1,Medical,1,4,Male,64,2,1,Research Scientist,4,Married,2889,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1,Rendah (< 5000),1-2 Tahun,< 30,6-10 km,0,1,Risiko Sedang,-1.0605887897308275,0.2703820818133155
816,46,0.0,Travel_Rarely,705,Sales,2,4,Marketing,1,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,Sangat Tinggi (>15000),1-2 Tahun,40-49,0-5 km,0,1,Risiko Sedang,0.6419474194938296,-0.19354876310503116
817,24,,Non-Travel,830,Sales,13,2,Life Sciences,1,4,Female,78,3,1,Sales Representative,2,Married,2033,7103,1,Y,No,13,3,3,80,1,1,2,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,11-20 km,0,1,Risiko Sedang,-1.284044569595162,0.1627638247785269
818,29,0.0,Travel_Rarely,1010,Research & Development,1,3,Life Sciences,1,1,Female,97,3,1,Research Scientist,4,Divorced,3760,5598,1,Y,No,15,3,1,80,3,3,5,3,3,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,0,1,Risiko Sedang,-0.8318857079596413,0.4128938124347304
819,41,1.0,Travel_Frequently,143,Sales,4,3,Marketing,1,1,Male,56,3,2,Sales Executive,2,Single,9355,9558,1,Y,No,18,3,3,80,0,8,5,3,8,7,7,7,Sedang (5000-10000),> 5 Tahun,40-49,0-5 km,0,1,Risiko Sedang,0.4457036561044868,0.4006083886999779
820,45,0.0,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,1,Male,69,3,1,Research Scientist,4,Married,2654,9655,3,Y,No,21,4,4,80,2,8,3,2,2,2,0,2,Rendah (< 5000),Baru Dipromosikan,40-49,6-10 km,0,0,Risiko Tinggi,-1.1066439264077952,-0.7520283196452289
821,30,0.0,Travel_Rarely,855,Sales,7,4,Marketing,1,4,Female,73,3,2,Sales Executive,1,Divorced,4779,12761,7,Y,No,14,3,2,80,2,8,3,3,3,2,0,2,Rendah (< 5000),Baru Dipromosikan,30-39,6-10 km,0,1,Risiko Sedang,-0.717833921846412,0.3421368773443782
822,33,0.0,Travel_Frequently,1146,Sales,25,3,Medical,1,2,Female,82,3,2,Sales Executive,3,Married,4539,4905,1,Y,No,12,3,1,80,1,10,3,2,10,7,0,1,Rendah (< 5000),Baru Dipromosikan,30-39,21-30 km,0,0,Risiko Tinggi,0.17697303685102694,-1.1892683962308452
823,33,0.0,Travel_Rarely,147,Human Resources,2,3,Human Resources,1,2,Male,99,3,1,Human Resources,3,Married,3600,8429,1,Y,No,13,3,4,80,1,5,2,3,5,4,1,4,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,0,1,Risiko Sedang,-0.5769471957674841,0.36958754355052753
824,42,0.0,Travel_Frequently,748,Research & Development,9,2,Medical,1,1,Female,74,3,1,Laboratory Technician,4,Single,3673,16458,1,Y,No,13,3,3,80,0,12,3,3,12,9,5,8,Rendah (< 5000),3-5 Tahun,40-49,6-10 km,0,1,Risiko Sedang,0.37461006635181193,0.06935935580010705
825,43,0.0,Travel_Rarely,531,Sales,4,4,Marketing,1,4,Female,56,2,3,Sales Executive,4,Single,10231,20364,3,Y,No,14,3,4,80,0,23,3,4,21,7,15,17,Tinggi (10000-15000),> 5 Tahun,40-49,0-5 km,0,2,Risiko Rendah,2.313397879540309,1.110240104562072
826,39,0.0,Travel_Rarely,466,Research & Development,1,1,Life Sciences,1,4,Female,65,2,4,Manufacturing Director,4,Married,12742,7060,1,Y,No,16,3,3,80,1,21,3,3,21,6,11,8,Tinggi (10000-15000),> 5 Tahun,30-39,0-5 km,0,2,Risiko Rendah,2.561435886345433,0.2836559596363514
827,39,0.0,Travel_Rarely,1431,Research & Development,1,4,Medical,1,3,Female,96,3,1,Laboratory Technician,3,Divorced,2232,15417,7,Y,No,14,3,3,80,3,7,1,3,3,2,1,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,0,1,Risiko Sedang,-0.9934893626245607,0.40050072289898064
828,35,0.0,Non-Travel,1212,Sales,8,2,Marketing,1,3,Female,78,2,3,Sales Executive,4,Married,10377,13755,4,Y,Yes,11,3,2,80,1,16,6,2,13,2,4,12,Tinggi (10000-15000),3-5 Tahun,30-39,6-10 km,1,2,Risiko Rendah,1.2061198438323513,-0.7401055486877948
829,40,,Travel_Rarely,448,Research & Development,16,3,Life Sciences,1,3,Female,84,3,3,Manufacturing Director,4,Single,7945,19948,6,Y,Yes,15,3,4,80,0,18,2,2,4,2,3,3,Sedang (5000-10000),3-5 Tahun,40-49,11-20 km,1,0,Risiko Tinggi,-0.2708547046608083,-0.8254233655842862
830,26,1.0,Travel_Rarely,1449,Research & Development,16,4,Medical,1,1,Male,45,3,1,Laboratory Technician,2,Divorced,2373,14180,2,Y,Yes,13,3,4,80,1,5,2,3,3,2,0,2,Rendah (< 5000),Baru Dipromosikan,< 30,11-20 km,1,1,Risiko Sedang,-0.977583560040973,0.06438574187957477
831,40,,Travel_Rarely,884,Research & Development,15,3,Life Sciences,1,1,Female,80,2,3,Manufacturing Director,3,Married,10435,25800,1,Y,No,13,3,4,80,2,18,2,3,18,15,14,12,Tinggi (10000-15000),> 5 Tahun,40-49,11-20 km,0,2,Risiko Rendah,1.9101415941363422,-0.025656706421063602
832,51,0.0,Travel_Rarely,1178,Sales,14,2,Life Sciences,1,3,Female,87,3,2,Sales Executive,4,Married,4936,14862,4,Y,No,11,3,3,80,1,18,2,2,7,7,0,7,Rendah (< 5000),Baru Dipromosikan,50+,11-20 km,0,0,Risiko Tinggi,-0.18710136106638706,-0.8870419653879731
833,45,,Travel_Rarely,538,Research & Development,1,4,Technical Degree,1,1,Male,66,3,3,Healthcare Representative,2,Divorced,7441,20933,1,Y,No,12,3,1,80,3,10,4,3,10,8,7,7,Sedang (5000-10000),> 5 Tahun,40-49,0-5 km,0,1,Risiko Sedang,0.5114896371500623,0.40089008128838244
834,40,0.0,Travel_Rarely,1202,Research & Development,2,1,Medical,1,2,Female,89,4,2,Healthcare Representative,3,Divorced,6377,13888,5,Y,No,20,4,2,80,3,15,0,3,12,11,11,8,Sedang (5000-10000),> 5 Tahun,40-49,0-5 km,0,1,Risiko Sedang,0.6660990664554204,0.30541413848766924
835,32,0.0,Travel_Rarely,604,Sales,8,3,Medical,1,3,Male,56,4,2,Sales Executive,4,Married,6209,11693,1,Y,No,15,3,3,80,2,10,4,4,10,7,0,8,Sedang (5000-10000),Baru Dipromosikan,30-39,6-10 km,0,1,Risiko Sedang,0.3963366890660839,1.1227524878269415
836,28,0.0,Travel_Rarely,995,Research & Development,9,3,Medical,1,3,Female,77,3,1,Research Scientist,3,Divorced,2377,9834,5,Y,No,18,3,2,80,1,6,2,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,< 30,6-10 km,0,1,Risiko Sedang,-1.1136603729888346,0.2302457461784536
837,31,,Travel_Frequently,1125,Sales,7,4,Marketing,1,1,Female,68,3,3,Sales Executive,1,Married,9637,8277,2,Y,No,14,3,4,80,2,9,3,3,3,2,2,2,Sedang (5000-10000),1-2 Tahun,30-39,6-10 km,0,1,Risiko Sedang,-0.1982531659402433,0.4365438303281539
838,58,,Travel_Frequently,1216,Research & Development,15,4,Life Sciences,1,1,Male,87,3,4,Research Director,3,Married,15787,21624,2,Y,Yes,14,3,2,80,0,23,3,3,2,2,2,2,Sangat Tinggi (>15000),1-2 Tahun,50+,11-20 km,1,1,Risiko Sedang,0.32018940086543946,0.3483838231997427
839,40,0.0,Travel_Rarely,1398,Sales,2,4,Life Sciences,1,3,Female,79,3,5,Manager,3,Married,18041,13022,0,Y,No,14,3,4,80,0,21,2,3,20,15,1,12,Sangat Tinggi (>15000),1-2 Tahun,40-49,0-5 km,0,2,Risiko Rendah,2.994790280360213,0.39706734131566523
840,45,0.0,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,1,1,Male,97,3,3,Laboratory Technician,1,Divorced,5210,20308,1,Y,No,18,3,1,80,1,24,2,3,24,9,9,11,Sedang (5000-10000),> 5 Tahun,40-49,6-10 km,0,2,Risiko Rendah,2.166371153076988,-0.003906377896034374
841,44,0.0,Travel_Rarely,1315,Research & Development,3,4,Other,1,4,Male,35,3,5,Manager,4,Married,19513,9358,4,Y,Yes,12,3,1,80,1,26,2,4,2,2,0,1,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,0-5 km,1,1,Risiko Sedang,0.7383958716680711,1.635028512366467
842,50,0.0,Travel_Rarely,1322,Research & Development,28,3,Life Sciences,1,4,Female,43,3,4,Research Director,1,Married,16880,22422,4,Y,Yes,11,3,2,80,0,25,2,3,3,2,1,2,Sangat Tinggi (>15000),1-2 Tahun,50+,21-30 km,1,1,Risiko Sedang,0.5750173860187054,0.07868070677133107
843,45,0.0,Non-Travel,248,Research & Development,23,2,Life Sciences,1,4,Male,42,3,2,Laboratory Technician,1,Married,3633,14039,1,Y,Yes,15,3,3,80,1,9,2,3,9,8,0,8,Rendah (< 5000),Baru Dipromosikan,40-49,21-30 km,1,1,Risiko Sedang,-0.030577339285813576,-0.1612960536078033
844,35,0.0,Travel_Frequently,853,Sales,18,5,Life Sciences,1,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8,Sedang (5000-10000),1-2 Tahun,30-39,11-20 km,0,0,Risiko Tinggi,0.5304328692754708,-0.8835503320743747
845,48,0.0,Travel_Rarely,855,Research & Development,4,3,Life Sciences,1,4,Male,54,3,3,Manufacturing Director,4,Single,7898,18706,1,Y,No,11,3,3,80,0,11,2,3,10,9,0,8,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,0,1,Risiko Sedang,0.5565252189667349,0.3039379109411216
846,40,0.0,Travel_Rarely,1300,Research & Development,24,2,Technical Degree,1,1,Male,62,3,2,Research Scientist,4,Divorced,3319,24447,1,Y,No,17,3,1,80,2,9,3,3,9,8,4,7,Rendah (< 5000),3-5 Tahun,40-49,21-30 km,0,1,Risiko Sedang,-0.06969168714394885,-0.243044807356469
847,42,0.0,Travel_Rarely,544,Human Resources,2,1,Technical Degree,1,3,Male,52,3,1,Human Resources,3,Divorced,2696,24017,0,Y,Yes,11,3,3,80,1,4,5,3,3,2,1,0,Rendah (< 5000),1-2 Tahun,40-49,0-5 km,1,1,Risiko Sedang,-0.9439292868346227,0.38577403481622446
848,48,,Travel_Frequently,117,Research & Development,22,3,Medical,1,4,Female,58,3,4,Manager,4,Divorced,17174,2437,3,Y,No,11,3,2,80,1,24,3,3,22,17,4,7,Sangat Tinggi (>15000),3-5 Tahun,40-49,21-30 km,0,2,Risiko Rendah,3.169207774796817,-0.14571125508359167
849,21,0.0,Travel_Rarely,996,Research & Development,3,2,Medical,1,4,Male,100,2,1,Research Scientist,3,Single,3230,10531,1,Y,No,17,3,1,80,0,3,4,4,3,2,1,0,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,0,1,Risiko Sedang,-0.8661606557558084,1.3190200417461857
850,38,0.0,Travel_Rarely,268,Research & Development,2,5,Medical,1,4,Male,92,3,1,Research Scientist,3,Married,3057,20471,6,Y,Yes,13,3,2,80,1,6,0,1,1,0,0,1,Rendah (< 5000),Baru Dipromosikan,30-39,0-5 km,1,0,Risiko Tinggi,-1.2170586321501258,-1.4666810827697372
851,35,0.0,Travel_Rarely,1142,Research & Development,23,4,Medical,1,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,21-30 km,1,1,Risiko Sedang,-0.9358640240793887,-0.03575229911662808
852,28,1.0,Travel_Rarely,1157,Research & Development,2,4,Medical,1,1,Male,84,1,1,Research Scientist,4,Married,3464,24737,5,Y,Yes,13,3,4,80,0,5,4,2,3,2,2,2,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,1,0,Risiko Tinggi,-0.8843321951932968,-0.5632145450450177
853,23,,Travel_Frequently,638,Sales,9,3,Marketing,1,4,Male,33,3,1,Sales Representative,1,Married,1790,26956,1,Y,No,19,3,1,80,1,1,3,2,1,0,1,0,Rendah (< 5000),1-2 Tahun,< 30,6-10 km,0,0,Risiko Tinggi,-1.3286689626562795,-0.6762948933115165
854,53,0.0,Travel_Rarely,1376,Sales,2,2,Medical,1,3,Male,45,3,4,Manager,3,Divorced,14852,13938,6,Y,No,13,3,3,80,1,22,3,4,17,13,15,2,Tinggi (10000-15000),> 5 Tahun,50+,0-5 km,0,2,Risiko Rendah,2.268992932788719,1.3323382105410233
855,35,0.0,Travel_Frequently,200,Research & Development,18,2,Life Sciences,1,3,Male,60,3,3,Manufacturing Director,4,Single,9362,19944,2,Y,No,11,3,3,80,0,10,2,3,2,2,2,2,Sedang (5000-10000),1-2 Tahun,30-39,11-20 km,0,1,Risiko Sedang,-0.36900843055045407,0.13499269541324613
856,36,0.0,Travel_Frequently,1480,Research & Development,3,2,Medical,1,4,Male,30,3,1,Laboratory Technician,2,Single,2088,15062,4,Y,No,12,3,3,80,0,13,3,2,8,7,7,2,Rendah (< 5000),> 5 Tahun,30-39,0-5 km,0,0,Risiko Tinggi,-0.3521837953770104,-0.663482001605809
857,36,0.0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8,Tinggi (10000-15000),> 5 Tahun,30-39,6-10 km,0,2,Risiko Rendah,1.7392011832853584,0.15083866434984108
858,59,0.0,Travel_Rarely,715,Research & Development,2,3,Life Sciences,1,3,Female,69,2,4,Manufacturing Director,4,Single,13726,21829,3,Y,Yes,13,3,1,80,0,30,4,3,5,3,4,3,Tinggi (10000-15000),3-5 Tahun,50+,0-5 km,1,1,Risiko Sedang,0.5042438074526511,0.5490681138920622
859,33,,Travel_Rarely,392,Sales,2,4,Medical,1,4,Male,93,3,2,Sales Executive,4,Divorced,5505,3921,1,Y,No,14,3,3,80,2,6,5,3,6,2,0,4,Sedang (5000-10000),Baru Dipromosikan,30-39,0-5 km,0,1,Risiko Sedang,-0.239874018148856,0.37242989023774686
860,40,,Travel_Rarely,616,Research & Development,2,2,Life Sciences,1,3,Female,99,3,1,Laboratory Technician,1,Married,3377,25605,4,Y,No,17,3,4,80,1,7,5,2,4,3,0,2,Rendah (< 5000),Baru Dipromosikan,40-49,0-5 km,0,0,Risiko Tinggi,-0.7530246625140058,-0.5298793761193326
861,45,,Travel_Rarely,1015,Research & Development,5,5,Medical,1,3,Female,50,1,2,Laboratory Technician,1,Single,5769,23447,1,Y,Yes,14,3,1,80,0,10,3,3,10,7,1,4,Sedang (5000-10000),1-2 Tahun,40-49,0-5 km,1,1,Risiko Sedang,0.3342190168486132,0.2907236470034211
862,32,,Travel_Rarely,529,Research & Development,2,3,Technical Degree,1,4,Male,78,3,1,Research Scientist,1,Single,2439,11288,1,Y,No,14,3,4,80,0,4,4,3,4,2,1,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,0,1,Risiko Sedang,-0.8326253706984555,0.3985045563146187
863,49,0.0,Travel_Rarely,174,Sales,8,4,Technical Degree,1,4,Male,56,2,4,Sales Executive,2,Married,13120,11879,6,Y,No,17,3,2,80,1,22,3,3,9,8,2,3,Tinggi (10000-15000),1-2 Tahun,40-49,6-10 km,0,2,Risiko Rendah,0.9832664501158997,0.3619227033127537
864,36,0.0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,30-39,6-10 km,0,1,Risiko Sedang,-1.1797342904203147,0.3138984759916046
865,23,,Travel_Rarely,427,Sales,7,3,Life Sciences,1,3,Male,99,3,1,Sales Representative,4,Divorced,2275,25103,1,Y,Yes,21,4,2,80,1,3,2,3,3,2,0,2,Rendah (< 5000),Baru Dipromosikan,< 30,6-10 km,1,1,Risiko Sedang,-0.9911103184656767,0.2415729424215735
866,30,,Travel_Frequently,1312,Research & Development,2,4,Technical Degree,1,4,Female,78,2,1,Research Scientist,1,Single,4968,26427,0,Y,No,16,3,4,80,0,10,2,3,9,7,0,7,Rendah (< 5000),Baru Dipromosikan,30-39,0-5 km,0,1,Risiko Sedang,0.11360038462249067,0.36326588483062255
867,53,0.0,Travel_Rarely,970,Research & Development,7,3,Life Sciences,1,3,Male,59,4,4,Research Director,3,Married,14814,13514,3,Y,No,19,3,3,80,0,32,3,3,5,1,1,3,Tinggi (10000-15000),1-2 Tahun,50+,6-10 km,0,1,Risiko Sedang,0.6220988075192716,0.4687938396204231
868,53,0.0,Travel_Rarely,868,Sales,8,3,Marketing,1,1,Male,73,3,4,Sales Executive,4,Married,11836,22789,5,Y,No,14,3,3,80,1,28,3,3,2,0,2,2,Tinggi (10000-15000),1-2 Tahun,50+,6-10 km,0,1,Risiko Sedang,-0.10374103334146001,0.4205080454722985
869,58,,Non-Travel,350,Sales,2,3,Medical,1,2,Male,52,3,4,Manager,2,Divorced,16291,22577,4,Y,No,22,4,4,80,1,37,0,2,16,9,14,14,Sangat Tinggi (>15000),> 5 Tahun,50+,0-5 km,0,2,Risiko Rendah,2.2481291068354614,-0.49874392217914937
